scene,comparison,iteration,stage,feature_dim,input_token_rms_drift,stage_rms_drift,stage_mean_drift,stage_median_drift,stage_p95_drift,amplification_ratio
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,block_3,2048,0.0,0.41516754398556005,0.39125273804985056,0.3617983329235591,0.548971949599623,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,block_3,2048,0.0,6.809340099995156,5.937867037090678,5.459095106017087,10.721440257499218,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,block_3,2048,0.0,9.344626134383361,8.929216328575285,8.803037241103933,13.764626608705948,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,block_3,2048,0.0,17.670926335548614,16.85222629756811,16.03622619694689,25.891788595012194,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,block_4,2048,0.0,0.4144036371238152,0.3889532306099609,0.3609844431739413,0.5317621896307301,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,block_4,2048,0.0,9.253895532942973,8.544380212678895,7.789993845619663,14.573917408240998,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,block_4,2048,0.0,9.40367572661269,8.936248608756827,8.461510241615334,14.792949394955434,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,block_4,2048,0.0,13.721059234655339,13.092857188100357,12.101880470417342,20.440098730081573,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,trunk_norm,2048,0.0,0.07647873952792741,0.07078751607445957,0.06607399379101865,0.09594964388198768,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,trunk_norm,2048,0.0,0.9921845488649709,0.9576874795344241,0.9570900317344003,1.198158364316413,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,trunk_norm,2048,0.0,1.3433158258404005,1.3236170431498555,1.3377635881204504,1.682270903021235,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,trunk_norm,2048,0.0,2.448873298300302,2.4008205898244253,2.3778813324348143,3.2239000861601785,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,pose_delta_9d,9,0.0,0.002659292951601468,0.0024954602819256175,0.0024056133567874954,0.0038016097859667987,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,pose_delta_9d,9,0.0,0.004711795706394737,0.003937556357085216,0.0033517358973174077,0.008608401328813995,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,pose_delta_9d,9,0.0,0.003241041522394282,0.0023066821255588498,0.0014459508963674678,0.006685225225803479,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,pose_delta_9d,9,0.0,0.005226466339840185,0.0030330098642178073,0.0014892851551036596,0.014066274199416048,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,1,raw_pose_9d,9,0.0,0.002659292951601468,0.0024954602819256175,0.0024056133567874954,0.0038016097859667987,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,2,raw_pose_9d,9,0.0,0.004984070523928618,0.0045182033820180606,0.004171436678614955,0.007849414525669824,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,3,raw_pose_9d,9,0.0,0.007225745824109245,0.006146598215986756,0.005259504139107934,0.013301375718128476,
scene0000_00,H200(Z500_shared)_vs_H500(Z500)_shared,4,raw_pose_9d,9,0.0,0.007759440829907974,0.00630354760316995,0.00508292919785949,0.01615503342288072,
