scene,score,gate,frame_count,score_mean,score_p95,translation_growth_mean,translation_growth_pearson,translation_growth_spearman,rotation_growth_pearson,rotation_growth_spearman,translation_growth_bottom_quartile_mean,translation_growth_top_quartile_mean
scene0013_02,global_local_token_cosine,reliable,400,0.3140131921531613,0.8113779607390351,0.02263481128902971,0.564471031296495,0.6901111881949262,0.7417656678215229,0.6541471509196932,0.0036700635220052336,0.03734549343303486
scene0013_02,global_local_pose_translation,all,500,0.0065654684305554625,0.017113197167687527,0.019100322737952587,0.03548867228084605,0.20869254677018706,0.17710618474249606,0.30049454597818387,0.014569329247677282,0.021317591282078482
scene0013_02,global_local_pose_translation,reliable,400,0.005785440479568012,0.013437594774816703,0.02263481128902971,0.5951272822477544,0.48138263364146017,0.5028767884981991,0.42041381508634423,0.013848250246276244,0.037087561125484066
scene0013_02,global_local_pose_rotation_deg,all,500,1.3423171908476788,2.545670128928876,0.019100322737952587,-0.13004589908600814,-0.09482639530558122,-0.16236591163301275,-0.19984899139596557,0.02181814025445325,0.019823372284014925
scene0013_02,global_local_pose_rotation_deg,reliable,400,1.151912919958406,2.3003945597528497,0.02263481128902971,0.19822950444772622,0.11040594003712521,0.2745294640010977,0.16069956687229292,0.025030812074479086,0.029733473182726546
scene0013_02,local_local_token_cosine,all,400,0.10897954067599418,0.1849845031341648,0.02263481128902971,0.26108308202396574,0.2670933568334802,0.15857844901883827,0.06719723248270301,0.022017193886005072,0.02799560041740652
scene0013_02,local_local_pose_translation,all,400,0.0023702734364608445,0.0052791890830984475,0.02263481128902971,-0.00192431704855431,-0.08473759210995067,0.19417570665895845,0.17392739954624714,0.023319623826475566,0.02050696276506498
scene0013_02,local_local_pose_rotation_deg,all,400,1.6984083888952062,3.1274671376012995,0.02263481128902971,-0.0637105428603391,-0.2020576378602366,0.2182167007148779,0.012722329514559465,0.02825175436253242,0.023471994429807262
scene0029_01,global_local_token_cosine,all,500,0.29858589015607584,0.7610929201828913,0.007919189632373941,0.00011263928905444805,-0.04024076896307585,0.030624710687002548,-0.021246132984531936,0.006994028911075246,0.009003117695688947
scene0029_01,global_local_token_cosine,reliable,360,0.3312270294533684,0.771022796877884,0.009630109105785748,-0.02979177677645798,-0.04606619907046607,0.2088352052309558,0.1009151305179824,0.006747961106473499,0.006139001520375729
scene0029_01,global_local_pose_translation,all,500,0.01890141801594022,0.05008611202894678,0.007919189632373941,0.41377651388351816,0.1632750531002124,-0.35294584106455185,-0.34280057120228474,0.004010445527530577,0.01678460563616826
scene0029_01,global_local_pose_translation,reliable,328,0.019019080844068666,0.05089403005816562,0.006679071830684577,0.33570390109012477,0.04608002034957469,-0.1932580621050232,-0.1519631014329719,0.0038017266459375405,0.014006365043239571
scene0029_01,global_local_pose_rotation_deg,all,500,7.333338833701545,16.79009136738804,0.007919189632373941,0.4455496556118299,0.2566201624806499,-0.8941946727159891,-0.9351115164460657,0.005633102910410079,0.020951557173643897
scene0029_01,global_local_pose_rotation_deg,reliable,328,7.254813668848247,14.08271141532977,0.006679071830684577,0.3995058414525289,0.19518078271047906,-0.8383132039042318,-0.9063212226612103,0.003997190775978838,0.017864035614228634
scene0029_01,local_local_token_cosine,all,400,0.18168245332117933,0.5064847733141682,0.008656177373257702,-0.10338194951877444,-0.14782854892843078,-0.1276273293900408,-0.17958805992537452,0.015013451592878728,0.012633917104858266
scene0029_01,local_local_pose_translation,all,400,0.010731280082305648,0.02585497966147011,0.008656177373257702,0.16185203747329868,0.11518834492715578,0.01563238197158171,-0.050752442202763766,0.004184025509601976,0.014037035127061786
scene0029_01,local_local_pose_rotation_deg,all,400,7.065359224817314,15.805431303477468,0.008656177373257702,0.298322153043997,0.18797517484484275,-0.34027322349846423,-0.28531490821817634,0.006522528343595619,0.015703768854463784
scene0691_00,global_local_token_cosine,all,500,0.37546541517107135,0.6832129267199001,0.07101837055557078,0.03460812049923579,0.03962262249048996,-0.8263950104768424,-0.8284480817923272,0.06847976250589537,0.06919126414327964
scene0691_00,global_local_token_cosine,reliable,373,0.3740716178047715,0.6684128610788531,0.07381534696835855,0.25029948515345335,0.33243459106378864,-0.8474006513879211,-0.7665333506607143,0.04736347857677458,0.08561624820840606
scene0691_00,global_local_pose_translation,all,500,0.021106800699042506,0.047080966667789936,0.07101837055557078,0.5000942331942682,0.18036523346093383,0.20730636541412822,0.09222776091104364,0.06101386375544548,0.1083816898284271
scene0691_00,global_local_pose_translation,reliable,336,0.020772067243996075,0.0469448899884886,0.07402855529441951,0.5212576620192856,0.20427451551061987,0.315109163935614,0.27067629212985517,0.0616700809743187,0.1157729580211383
scene0691_00,global_local_pose_rotation_deg,all,500,5.038832573960425,9.174135023867953,0.07101837055557078,0.05658368997877342,-0.02969675878703515,-0.35265753038390857,-0.49525273301093203,0.0730955379108157,0.0856723174105067
scene0691_00,global_local_pose_rotation_deg,reliable,336,4.972064908295096,6.900544327592266,0.07402855529441951,0.38709156091166075,0.19151360619539015,-0.16814747475717162,-0.3268688351375804,0.05634576522570559,0.10481373544329456
scene0691_00,local_local_token_cosine,all,400,0.21050663012541748,0.6636562526866362,0.07262438134991851,0.037329646491608075,0.20381021131382068,-0.056601229220077785,-0.18131288320552,0.0523935126680302,0.08488974193006885
scene0691_00,local_local_pose_translation,all,400,0.009434569344910906,0.02866542196882622,0.07262438134991851,-0.11693275763632083,-0.1240320252001575,0.1251686981696522,-0.134477340483378,0.07809319980170655,0.05595091644604681
scene0691_00,local_local_pose_rotation_deg,all,400,5.795000747204622,26.865526519368856,0.07262438134991851,-0.0860676536658103,-0.14648716554478464,0.013485226621991067,-0.32259782873642956,0.10185578160663677,0.049011527169315394
