scene,group,set,camera_center_displacement_mean,rotation_change_deg_mean,fov_change_mean,aligned_translation_error_mean,aligned_translation_error_delta
scene0254_01,rotation,controls,0.016548751916694634,0.7353883562487394,0.04310338415358544,0.0913518237125031,-0.0021638825984156285
scene0254_01,fov,selected,0.05365882016545726,2.924868814199239,0.25799704031368376,0.11192930962939228,0.018413603318473554
scene0254_01,fov,controls,0.020976170996336415,0.9257231205233366,0.01906355887104202,0.09162157736524455,-0.0018941289456741728
scene0267_00,translation,selected,0.11440822165824176,5.575106095605879,0.03977310868125564,0.13651634067656404,0.015314710355382677
scene0267_00,translation,controls,0.00863060369039279,1.4317417084138788,0.0231263687002765,0.12797236383256771,0.006770733511386351
scene0267_00,rotation,selected,0.09215526646023907,13.19080287275735,0.16168810905060246,0.11650776460497655,-0.004693865716204809
scene0267_00,rotation,controls,0.012710150760401006,0.8915830886704371,0.047912018969801524,0.13173864657110498,0.01053701624992362
scene0267_00,fov,selected,0.06287252833587621,4.98737161623045,0.20163154333565445,0.1378829828108686,0.016681352489687246
scene0267_00,fov,controls,0.01632401236347028,1.1439139930156046,0.019243009421143008,0.12820421406435925,0.007002583743177887
scene0294_02,translation,selected,0.21961275554069867,6.641089924866336,0.040881055808052416,0.2898406527890771,0.18736453673811082
scene0294_02,translation,controls,0.015044065141749661,2.03184030051044,0.019523288271514033,0.10541936597225941,0.0029432499212931063
scene0294_02,rotation,selected,0.13297767852791895,13.650286220355499,0.2019647270973495,0.27649480929118103,0.17401869324021474
scene0294_02,rotation,controls,0.018396113776659204,0.8410192621081845,0.0519703527252137,0.10386346278202283,0.0013873467310565185
scene0294_02,fov,selected,0.05877709297572909,2.882387850434731,0.34138439014694416,0.16150348857086333,0.05902737251989702
scene0294_02,fov,controls,0.023790902675468545,1.0444586430025178,0.01768049003771264,0.1109845141844366,0.00850839813347029
scene0309_00,translation,selected,0.1101515186841811,7.042508738849618,0.0304265411618782,0.2722799418210996,0.11744189038398728
scene0309_00,translation,controls,0.010475071769168452,1.0141163490166056,0.01744347143419632,0.15512942524809178,0.0002913738109794617
scene0309_00,rotation,selected,0.09304117140072123,15.884181841729683,0.1593584086173707,0.30055037673606505,0.14571232529895273
scene0309_00,rotation,controls,0.012400700803736986,0.7282767159124959,0.056811332509781966,0.14719371105704795,-0.007644340380064368
scene0309_00,fov,selected,0.05036565589207793,4.828458434009577,0.2252145728506994,0.19560807177543701,0.04077002033832469
scene0309_00,fov,controls,0.015281453245321168,0.9585218950426824,0.016826423715096933,0.14375472908043138,-0.011083322356680941
scene0340_01,translation,selected,0.131826508644827,6.934218082008524,0.041178832583129744,0.12855285846723224,0.08068197732815628
scene0340_01,translation,controls,0.008934378518736274,0.8122980306330889,0.022756994874249304,0.052871165877563145,0.005000284738487182
scene0340_01,rotation,selected,0.10932950503363226,13.515075704474533,0.12851424877128453,0.19552260559172302,0.14765172445264707
scene0340_01,rotation,controls,0.011594954342912163,0.7072318403232907,0.05749885055293846,0.05269971368623801,0.00482883254716205
scene0340_01,fov,selected,0.0444130399619784,4.393054269788716,0.24323892002744765,0.0723719876308231,0.024501106491747138
scene0340_01,fov,controls,0.016759460156195474,0.9816672849040117,0.025583060359049583,0.05653683208645742,0.008665950947381457
scene0353_02,translation,selected,0.15432166850279336,5.689860167821722,0.0367960223789102,0.19971273680178558,0.07461026045372579
scene0353_02,translation,controls,0.010233101187574718,1.8934813706956257,0.02043006597018301,0.12785822301265468,0.0027557466645948825
scene0353_02,rotation,selected,0.10598432288976459,12.657260095993701,0.14475202202888504,0.1895298046179245,0.06442732826986472
scene0353_02,rotation,controls,0.015551810877657979,0.8582693391852014,0.04445505915947815,0.12143516886350246,-0.0036673074845573334
scene0353_02,fov,selected,0.0632479834214616,5.657751967715167,0.26486448765840626,0.1239411557112418,-0.0011613206368179946
scene0353_02,fov,controls,0.015508649593474534,1.0584049579993302,0.01904445168287066,0.12478970913794848,-0.0003127672101113088
scene0367_01,translation,selected,0.14832964337820823,7.929311687564633,0.017667972762753562,0.12964863901971194,0.04882310988270766
scene0367_01,translation,controls,0.007762665150813309,0.9476811332750136,0.01988365982097106,0.08234820276962185,0.0015226736326175716
scene0367_01,rotation,selected,0.13133977511355804,17.165458502268823,0.19922201613398316,0.16853742673537866,0.08771189759837439
scene0367_01,rotation,controls,0.014870407933623785,0.48858398314024953,0.06519526348447605,0.0789113125931909,-0.0019142165438133796
scene0367_01,fov,selected,0.045142910565392186,3.537530070112452,0.35335787547805225,0.10888493686031234,0.02805940772330806
scene0367_01,fov,controls,0.019967224660170233,0.9895911246526985,0.018170410088765902,0.06973662740783762,-0.011088901729166656
scene0380_02,translation,selected,0.31735209324795244,12.025498034868258,0.03986604040165251,0.3351688762807751,0.22243183571471042
scene0380_02,translation,controls,0.011203630028400554,0.9554665470743255,0.01856184460949288,0.10904703428873594,-0.0036900062773286973
scene0380_02,rotation,selected,0.23749782195323002,17.03935769642138,0.18747953329536468,0.4435732721449616,0.33083623157889697
scene0380_02,rotation,controls,0.02365020414316583,0.7620800062503383,0.059862039840563507,0.1072076910683862,-0.005529349497678443
