scene,short_frames,long_frames,shared_frame_count,token_cosine_distance_mean,token_cosine_distance_p95,token_pairwise_affinity_drift,aligned_center_drift_mean,translation_error_change_mean,rotation_error_change_mean_deg,delta_norm_change_mean,token_translation_error_change_pearson,delta_translation_error_change_pearson
scene0029_01,25,50,4,0.0047949060743518734,0.005309488076972229,0.0035441531014966526,0.022225003805770457,0.003227485896021622,-0.2298356632798575,-1.6317022527800873e-05,-0.8070165475850255,0.20996699152212234
scene0029_01,25,100,6,0.003213067425679228,0.0038328705191942036,0.0033239118111141855,0.01846791896692938,0.0023010762299812376,-0.6348248762216858,1.7862585082184523e-05,-0.3612016996490603,-0.7657417917029946
scene0029_01,25,200,10,0.005404119737341939,0.0069756120349233315,0.004740936148444198,0.018900525190452017,-0.0011186963496691953,-0.7479644418551868,-3.5210777423344555e-05,0.03834507193096461,-0.12335968727520188
scene0029_01,25,500,25,0.01218325659132014,0.014911923086197128,0.009892181708759667,0.022858500205827127,-0.00805901411190272,-1.0933970125238845,-4.780356597620994e-05,-0.23261312112992946,-0.07942310777528123
scene0029_01,50,100,12,0.0020931583066213697,0.002513417330231038,0.003624969835579037,0.008661845272818108,-0.0033431609461377896,-0.4502120586991021,2.2351430743583478e-05,0.49704258406337165,-0.3901680583650682
scene0029_01,50,200,34,0.0041867780239329,0.004890558653317911,0.003991235266479627,0.012521306235893476,-0.007934058699095067,-0.29192375356696826,2.6262827518889133e-05,-0.19713101242239783,0.06690692472324909
scene0029_01,50,500,50,0.010069833901494643,0.01180096642869013,0.006143673288293769,0.014329360830144893,-0.00948493374102723,-0.9638904043233861,2.9091475444147363e-05,-0.1470890993298601,-0.043733988938622674
scene0029_01,100,200,50,0.0007726300886286497,0.0009993931888499952,0.0017189743902481106,0.005151753738022577,-0.00045294229257826003,0.06806775357443991,-8.917104714782909e-06,-0.152110155161257,0.25214025366700105
scene0029_01,100,500,100,0.005318467386439445,0.00617430913825514,0.006529831118077811,0.010749626200444633,-0.0036284932117949973,-0.56528823599866,-3.733803969225846e-06,-0.15885110931510762,0.14151235683478292
scene0029_01,200,500,200,0.0024381517522440973,0.0029123827651644893,0.004758666515174571,0.008268707233060066,-0.0030289395605174792,-0.6170117723528353,4.90014006572892e-06,-0.06946281995433914,0.13510042911767542
scene0691_00,25,50,4,0.0009189119564143589,0.001449374063612235,0.0017612668486230304,0.019474318530344342,0.002772386046957804,0.22681442433625032,1.6745918401284143e-05,0.18844635293486886,0.5938878528666787
scene0691_00,25,100,6,0.002711726564254261,0.0037267561192571574,0.0037178538007121933,0.021102287378905543,0.004225606881636556,0.19119271694255122,2.8020525254153956e-05,0.04933618409210995,0.06974001580134274
scene0691_00,25,200,10,0.006915003611773218,0.007917072659365998,0.0076315632367158995,0.02038508502176664,-0.00012871824078287026,0.08641703245989982,9.476033446844667e-05,0.17595895394951291,-0.32640452882846177
scene0691_00,25,500,25,0.04891830709750147,0.07276662319583745,0.05202014757120911,0.08758813606894839,0.04164954279981079,0.5479668982452125,0.0002974464776343666,0.5541224830006082,-0.11341997530470196
scene0691_00,50,100,12,0.0008255168147266826,0.0011740108567400596,0.0021391154952868797,0.007359851096545419,-0.0014652856351358501,0.03808028154320072,1.1163610300476042e-05,-0.21887720050958823,0.216252212389751
scene0691_00,50,200,34,0.004154937065121476,0.005414459798397775,0.008110517032014743,0.019550729532528704,0.0009555084276149026,0.04118089361158264,0.00010758283657624441,0.12471492217430823,-0.07862356563364362
scene0691_00,50,500,50,0.040184009524543506,0.06646144544984155,0.05059632263024959,0.08091856707334973,0.05645424248922761,0.7948829265267912,0.00031023316376376897,0.5911765606063825,0.19023729891389698
scene0691_00,100,200,50,0.0016385231484979301,0.0021334407167103277,0.004073071955048007,0.014908196304880899,0.0023337184234161956,0.04744515015452331,6.910073090693914e-05,0.528965647671641,-0.11710636445304533
scene0691_00,100,500,100,0.03190516864557948,0.05682252427594522,0.04379234310020859,0.07781120702996512,0.05226576151556061,0.7713242979333781,0.00021642585648805833,0.5502853775892876,-0.11523223380084029
scene0691_00,200,500,200,0.0265411374593526,0.049568840882064695,0.04149210541038087,0.07819505744644786,0.05387294730496051,0.8122711341925916,0.00019709429892827756,0.5684186190000939,0.09251032647305477
