scene,short_frames,long_frames,frame_id,token_cosine_distance,aligned_center_drift,aligned_rotation_drift_deg,translation_error_short,translation_error_long,translation_error_change,rotation_error_short_deg,rotation_error_long_deg,rotation_error_change_deg,delta_norm_short,delta_norm_long,delta_norm_change
scene0000_00,25,200,0,0.011431516128259434,0.5579894072121071,5.250567900207166,0.5944861633258002,0.04851074524486037,-0.5459754180809399,4.106591382064081,2.5835895059082574,-1.5230018761558233,0.00018818692478816956,0.0002700698096305132,8.188288484234363e-05
scene0000_00,25,200,223,0.011360575950318696,0.4645908419551211,5.381054080056568,0.537286142942257,0.0865503776349552,-0.45073576530730175,5.311450270410942,3.1623133752106836,-2.1491368952002587,0.00013725337339565158,0.0001827796222642064,4.552624886855483e-05
scene0000_00,25,200,692,0.011382096455490598,0.5754037420030763,5.415410778216969,0.521309762248793,0.08589612180627879,-0.4354136404425142,4.93561813663621,3.3902276823924877,-1.545390454243722,0.00014096227823756635,5.901903932681307e-05,-8.194323891075328e-05
scene0000_00,25,200,1620,0.04296190542834777,0.48950076838072,3.2786364169022293,0.3234440985673943,0.20698953721322008,-0.11645456135417423,5.619057671710801,8.018667724077314,2.399610052366513,0.0006298096268437803,0.0008235043496824801,0.00019369472283869982
scene0000_00,25,200,2548,0.013298589495832513,0.38995905341728226,3.7446907407491112,0.5492852508934546,0.22509201666165068,-0.3241932342318039,1.5936889800088547,3.3008592060824506,1.707170226073596,0.00024205146473832428,0.00021096167620271444,-3.108978853560984e-05
scene0000_00,25,200,3017,0.012062738055710343,1.0177807914669585,3.44357652536101,0.7902667191071556,0.2448178832812289,-0.5454488358259267,3.6573700770300195,1.5582388249991328,-2.0991312520308867,0.00025887187803164124,0.00028344904421828687,2.4577166186645627e-05
scene0000_00,25,200,3945,0.5208487901333767,4.956021050424852,108.01381263207115,5.297826595024402,0.3752376944073181,-4.922588900617084,107.56985915325504,2.0244499250613206,-105.54540922819372,0.002278902567923069,0.0010847459780052304,-0.0011941565899178386
scene0000_00,25,200,4872,0.013926124674598306,0.7300316692676587,4.271876208471076,0.7705987460586549,0.14087574124304353,-0.6297230048156113,4.03448453108172,5.27122761475974,1.2367430836780198,0.0016893462743610144,0.0012546872021630406,-0.00043465907219797373
scene0000_00,25,200,5342,0.010453279300255636,0.2894779385411179,3.9080914807577236,0.16321103502068462,0.25091546454212166,0.08770442952143703,2.8231159277379,3.0373452840505077,0.21422935631260787,0.0001432526478311047,0.0001253624795936048,-1.7890168237499893e-05
scene0000_00,25,200,5577,0.009738127841718902,0.5220185649820733,5.137229876024494,0.5361974364966523,0.046763244786782995,-0.4894341917098693,4.613419669928802,3.5634777795677657,-1.049941890361036,0.00011184201866853982,0.0001413514546584338,2.9509435989893973e-05
scene0000_00,25,500,0,0.07071013337305365,0.6631260774394958,28.540818523460867,0.5944861633258002,1.2541832881780475,0.6596971248522473,4.106591382064081,25.893449608176937,21.786858226112855,0.00018818692478816956,0.00026025259285233915,7.206566806416959e-05
