scene,iteration,unit,projected_translation,measured_translation,translation_relative_error,projected_rotation,measured_rotation,rotation_relative_error,projected_fov,measured_fov,fov_relative_error
scene0177_01,3,991,1.8872170310667826e-05,1.911465369630605e-05,0.01268573260550802,0.001463647878894142,0.15678460896015167,0.9906645946397319,0.00011921045031857256,0.0001191733535961248,0.0003111868326025412
scene0194_00,0,120,0.029191478984996695,0.02832948789000511,0.02952885996062803,2.1318349596360187,3.3864243030548096,0.3704761220521176,0.02503282655886613,0.02417328767478466,0.03433646943784858
scene0194_00,1,273,8.028077992477628e-05,8.037117368075997e-05,0.0011247036946697019,0.002443627638282691,0.1408286839723587,0.9826482249968174,0.0013302073400785353,0.001350158592686057,0.014776969694967435
scene0194_00,2,991,2.1542770007554857e-05,2.277158637298271e-05,0.053962703577199136,0.0025906423562448767,0.1420467644929886,0.9817620460030066,0.00019364373620678948,0.00019898693426512182,0.026852004520122357
scene0194_00,3,991,1.8712751252410764e-05,1.8739092411124147e-05,0.001405679535351804,0.0020513795888555146,0.1337246298789978,0.9846596727116633,0.0001929901593411399,0.00019296533719170839,0.00012861873121538945
scene0221_01,0,120,0.06354348861726412,0.061229217797517776,0.036420266971580524,2.5099740484609145,4.735743522644043,0.46999366911247864,0.02471340840642049,0.023970292881131172,0.03006932564980629
scene0221_01,1,991,0.00045410152430776945,0.0004728254862129688,0.039600153653235555,0.01851650685718802,0.1520785093307495,0.8782437641013615,0.001359048949696174,0.0013812670949846506,0.01608533597097202
scene0221_01,2,991,5.83673362698736e-05,6.0475886130006984e-05,0.034865960551624935,0.0023794810880773455,0.18005497753620148,0.986784696981793,0.00022073341682790642,0.0002230331883765757,0.010311342295776562
scene0221_01,3,991,6.027623751875321e-05,6.066321293474175e-05,0.0063790788068681225,0.0024979944400598617,0.179165780544281,0.9860576364946962,0.0002875597794218356,0.0002876059734262526,0.00016061559454652193
scene0238_00,0,120,0.042465004698397334,0.0386912040412426,0.08886848556729728,3.639370767267615,4.993892669677734,0.2712356856675354,0.022094950659061058,0.020039232447743416,0.09304018112729297
