scene,frame_count_actual,iteration,delta_norm_mean,delta_norm_p95,delta_norm_max,pose_ate_rmse_aligned,pose_ate_mean_aligned,pose_ate_max_aligned,pose_are_mean_deg_aligned,pose_are_max_deg_aligned,pose_rpe_rot_mean_deg,pose_rpe_trans_mean_aligned,pose_sim3_scale,frame_count_requested,inference_time_ms,peak_cuda_memory_mb
scene0013_02,500,4,0.0005701752961613238,0.0006553958519361913,0.1281900852918625,0.04544112260051886,0.04150723558033768,0.2165523449871125,1.8456061947268434,4.73551822079644,0.27026310975490453,0.011755038015699838,2.443025278842619,500,260677.47457697988,50877.36328125
scene0013_02,500,8,0.00016264920122921467,0.0003434584941715002,0.004427546169608831,0.04498745841829235,0.04153268462102682,0.14832844852437804,1.8578442524982834,4.083385591224578,0.2660510565280358,0.011500835761779793,2.443873309794835,500,260677.47457697988,50877.36328125
scene0013_02,500,16,7.075045868987218e-05,0.00018124056805390865,0.0012693998869508505,0.04500178240629334,0.04169518529021501,0.12570364663338976,1.871240870817723,3.9761819384162713,0.2654416846312916,0.011448364589689607,2.4445368418441746,500,260677.47457697988,50877.36328125
scene0029_01,25,1,1.7674156427383423,1.8152213096618652,1.8350005149841309,0.037190858916143425,0.03401351751842216,0.06590380880545582,4.899432367343176,6.075417053218366,1.5170616725101704,0.036812849352957845,0.9886126441755668,25,1401.136961299926,8261.50146484375
scene0029_01,25,2,0.0047130463644862175,0.010439268313348293,0.011144330725073814,0.038030459523624084,0.03497005514811932,0.0676943274655111,5.166458865409936,6.3067150149151905,1.5427390143114483,0.037680853930691385,0.9952039676026363,25,1401.136961299926,8261.50146484375
scene0029_01,25,4,0.00033542769961059093,0.0006544659845530987,0.0007265830063261092,0.03809598744439882,0.03501391491381374,0.06779673818433218,5.179757927353142,6.323404918587116,1.5448861059480077,0.037811084954747325,0.9960433093483292,25,1401.136961299926,8261.50146484375
scene0029_01,25,8,0.0001606749719940126,0.00030913608497940004,0.0003432350349612534,0.03817602625006857,0.03507028918442982,0.06791558217365987,5.191865134352595,6.339158774313898,1.5472528671847234,0.037943653910601116,0.9969042433558345,25,1401.136961299926,8261.50146484375
scene0029_01,25,16,6.75250485073775e-05,0.00013296949327923357,0.0001368251978419721,0.038261296380305766,0.03513587217174079,0.06805007676381605,5.202225071163485,6.354451004592109,1.5489103098707713,0.03805223955299685,0.9975322146096374,25,1401.136961299926,8261.50146484375
scene0029_01,50,1,1.7391427755355835,1.7818796634674072,1.7872697114944458,0.04161206895795801,0.03598185519259376,0.09568067605527894,4.8756080281458,6.4328261311686425,1.1061539394858588,0.027035431907580714,0.9437999808595633,50,3954.1356530971825,10500.89208984375
scene0029_01,50,2,0.006042144261300564,0.012503213249146938,0.01384743582457304,0.040021709466693166,0.0348666329442613,0.09294421650405554,5.040719095376038,6.704007434600046,1.0660296875558433,0.026104711037313714,0.9520142525236154,50,3954.1356530971825,10500.89208984375
scene0029_01,50,4,0.00027553364634513855,0.0005025170394219458,0.000557370251044631,0.03986871180830543,0.034737686652773984,0.09260547312981379,5.045118716008569,6.728585344769175,1.061270085809434,0.026022002116321986,0.9530695381807113,50,3954.1356530971825,10500.89208984375
scene0029_01,50,8,0.0001410984550602734,0.00025988739798776805,0.0003161366330459714,0.03976741686154249,0.034643689909777196,0.09243104032239166,5.040263935870634,6.733304696075375,1.0591985038898017,0.025988019076728718,0.9536608497121426,50,3954.1356530971825,10500.89208984375
scene0029_01,50,16,6.0602462326642126e-05,0.00011946812446694821,0.00017419389041606337,0.03969392982771244,0.03457019128354644,0.09235500296672998,5.0358388814352955,6.7368726780491945,1.0584489996804676,0.025973942111004625,0.9540919317941207,50,3954.1356530971825,10500.89208984375
scene0029_01,100,1,1.7550216913223267,1.7972071170806885,1.8163259029388428,0.03532462107654487,0.029808384635144774,0.08966514359740933,4.371905591698565,5.548172713853453,0.7927980219948345,0.018226085895068595,0.9589760331159372,100,12646.115545649081,14986.95654296875
scene0029_01,100,2,0.00525171821936965,0.011532481759786606,0.012786061502993107,0.03466625565378239,0.029243713016103935,0.08710407558492077,4.575286645232811,5.729575351087179,0.7762235726829069,0.018140924357671492,0.9662339981210261,100,12646.115545649081,14986.95654296875
